country,tagged_day_zero,train_error,test_error,suggested_test_size,a,b,c
Brunei,20573,0.2021966702711655,0.2372836336472692,0.6100000000000004,951.1915659791372,7305.098082754207,262185.2294092478
Bulgaria,491,0.7066670166018149,0.7193209788939936,0.6600000000000005,19.010289603264596,252.6182190564579,226370.77436247538
Burkina Faso,-99779686833,1.8783608257466637,7.775235411908451,0.6900000000000005,-9087129936.262691,-136440.39478393964,4890.083294933439
Burma,508,1.8343612887705363,1.9672448685554436,0.5100000000000003,23.156762267737335,227.2549215056138,143787.75974172488
Burundi,3613,0.5964816800672068,0.49276288603408575,0.24000000000000007,103.88949252749451,1501.038610014947,218179744.32239303
Cabo Verde,664,0.769661507584048,0.8380631653767155,0.3800000000000002,46.778498637323885,187.5475372784816,15058.561339184778
Cambodia,56960,0.923970716369765,0.8610872973015822,0.3200000000000002,-229.84379801831892,58250.206597522025,245.8942731277533
Cameroon,601,5.757771002630111,4.960041052866932,0.3200000000000002,44.1490370765848,119.95378330056018,26976.48996984669
Canada,2118,65.6015631501092,90.86961755023691,0.5300000000000004,87.17061801967745,632.8795692174062,23727565.93715377
Central African Republic,164,0.17003038565906697,0.2110821675989185,0.5600000000000004,12.425624158512592,50.549245563080525,4857.5086586439065
Chad,4737,2.572487742626708,2.3750467968980273,0.5500000000000004,133.35412477150874,1869.669696803901,419464280.1920076
Chile,821,116.21234379572203,70.85936474061405,0.42000000000000026,47.23353341871558,145.27514981007985,639529.387338575
China,114,0.4641793151558798,0.48575791512796657,0.3500000000000002,5.94550693709086,20.23812052938953,88929.01082172792
Colombia,1114,88.31771573207668,140.49282437402422,0.3400000000000002,57.49809059043478,252.38006406497226,2581622.8013909124
Comoros,1969,0.6068154188770255,0.6262905592365828,0.3800000000000002,50.435058050037654,875.2049930585433,521391600.1982087
Congo (Brazzaville),647,1.9064016320565256,2.125932143337521,0.6900000000000005,50.72393746550082,152.7171913014356,7563.434910625885
Congo (Kinshasa),1880,7.594401682773685,13.26915553006274,0.6500000000000005,127.97163976589592,424.2646092548026,71436.8158080895
Costa Rica,830,1.9615888258160001,4.120685745000587,0.6900000000000005,39.73023456268588,230.9046371375928,207013.05845333915
Cote d'Ivoire,577,2.0596415733351243,1.6820483839004143,0.15,34.39388006417652,119.02759201874392,23663.038666772827
Croatia,515,0.7066057223382811,0.6950370399616397,0.4600000000000003,19.308488620350037,259.35128751567595,241603.40979183232
Cuba,2679,0.5486706409304253,0.8653538102587224,0.6500000000000005,65.01566978118667,1135.7283020750365,7369981335.357658
Cyprus,560,0.7032311623789098,0.6469370182330385,0.29000000000000015,25.814459379288003,284.7385168931196,38098.87573743418
Czechia,939,0.8321167422370829,0.8574898615279348,0.5600000000000004,32.662132207120166,277.5224292553113,1178422.0018467116
Denmark,778,0.5904948159449772,0.7507703612831333,0.43000000000000027,37.83542970082656,295.93996879606584,280696.82135324326
Diamond Princess,611,0.8098178070311117,1.2861638690619064,0.3500000000000002,-5.078677053996962,644.7425156648613,696.9670781892935
Djibouti,274,0.5068153446521756,0.5734065145260617,0.4700000000000003,16.464167504550257,58.35771171815051,5579.0111338496135
Dominica,374,0.1017085906910163,0.1159735563562903,0.4900000000000003,38.179434294036284,77.6781886765931,133.05636743546987
Dominican Republic,1126,30.177509819171473,74.47709843836009,0.17,68.52681114528563,218.41446673906137,244962.43018407054
Ecuador,1077,52.156489525175786,0.7772380766857003,0.21000000000000005,69.20613515452187,207.3350079128026,286329.98990134534
Egypt,681,20.32280017462376,13.71852461339324,0.5100000000000003,43.22192125995965,129.570923291193,135896.3851538112
El Salvador,860,9.94651248710933,10.118899888714015,0.5500000000000004,55.394071425546024,185.479043229008,56273.28468908421
Equatorial Guinea,322,0.27153452646300547,0.6094861367112159,0.4900000000000003,22.18644717930739,84.63100250254134,5263.11505220066
Eritrea,2435,0.33935794253032747,0.3276717774760666,0.6900000000000005,66.02362221842206,1109.7370778219379,410072361.7824177
Estonia,2,4.794329023614616,10.600706403013548,0.5500000000000004,0.08373451764577562,1.3995013064319215,9428.397406605782
Eswatini,3482,4.486780851293052,4.482659209592269,0.43000000000000027,95.60753273525219,1327.8735613323531,753782038.1227311
Ethiopia,643,6.859962126603567,6.006404416962307,0.17,35.105915681171716,181.71537765988333,134644.26229724777
Fiji,6406,0.06421046262478414,0.07236597687068544,0.5300000000000004,231.65605245664435,2788.5712681045757,3724212.6144860713
Finland,3295,6.652985835162178,5.51922398786178,0.6700000000000005,99.74160923151577,1273.6870000123897,585758149.9239371
France,784,2.2387478231018534,3.536476016329006,0.3300000000000002,33.54423866756249,261.78576078830525,3490455.5911213607
Gabon,330,2.644681316729007,2.7346401892804186,0.3700000000000002,26.24488599917097,87.57634707771396,9499.902181466332
Gambia,187,0.4373456265544024,0.36414112251366565,0.30000000000000016,10.049347868612283,99.43324027443742,3812.625460762013
Georgia,475,0.6999065075281807,0.6333000254020563,0.5600000000000004,16.601247428337455,263.9710252158422,262882.767776691
